day,interval,detid,flow,occ,error,city,speed
2017-09-21,43800,PGR01_101724_G181_Hoendiep_O_ID_8648_1,288.0,6.68879099876292,,groningen,43.0571085347509
2017-09-21,44100,PGR01_101724_G181_Hoendiep_O_ID_8648_1,396.0,8.66722237024068,,groningen,45.6893781056876
2017-09-21,44400,PGR01_101724_G181_Hoendiep_O_ID_8648_1,288.0,6.81589298469094,,groningen,42.2541845429311
2017-09-21,44700,PGR01_101724_G181_Hoendiep_O_ID_8648_1,348.0,7.49236858379716,,groningen,46.447261117476
2017-09-21,45000,PGR01_101724_G181_Hoendiep_O_ID_8648_1,348.0,7.68656803025533,,groningen,45.2737813065892
2017-09-21,45300,PGR01_101724_G181_Hoendiep_O_ID_8648_1,195.0,4.25327332242226,,groningen,45.8470418470419
2017-09-21,45600,PGR01_101724_G181_Hoendiep_O_ID_8648_1,348.0,8.4600414078675,,groningen,41.1345504380598
2017-09-21,45900,PGR01_101724_G181_Hoendiep_O_ID_8648_1,288.0,6.72536997885835,,groningen,42.8229228883091
2017-09-21,46200,PGR01_101724_G181_Hoendiep_O_ID_8648_1,348.0,8.4232156844587,,groningen,41.3143878818252
2017-09-21,46500,PGR01_101724_G181_Hoendiep_O_ID_8648_1,492.0,12.4223022912047,,groningen,39.606184784953
2017-09-21,46800,PGR01_101724_G181_Hoendiep_O_ID_8648_1,372.0,8.01475667189953,,groningen,46.4143847690681
2017-09-21,47100,PGR01_101724_G181_Hoendiep_O_ID_8648_1,324.0,7.63441860465116,,groningen,42.4393810162057
2017-09-21,47400,PGR01_101724_G181_Hoendiep_O_ID_8648_1,264.0,5.84744890768147,,groningen,45.1478934092435
2017-09-21,47700,PGR01_101724_G181_Hoendiep_O_ID_8648_1,348.0,7.43033539763881,,groningen,46.8350325222986
2017-09-21,48000,PGR01_101724_G181_Hoendiep_O_ID_8648_1,384.0,9.07546597586403,,groningen,42.3118769902546
2017-09-21,48300,PGR01_101724_G181_Hoendiep_O_ID_8648_1,264.0,6.74561838497919,,groningen,39.1365157252094
2017-09-21,48600,PGR01_101724_G181_Hoendiep_O_ID_8648_1,396.0,8.81257928118393,,groningen,44.935765950556
2017-09-21,48900,PGR01_101724_G181_Hoendiep_O_ID_8648_1,372.0,9.11407602724676,,groningen,40.8159860514546
2017-09-21,49200,PGR01_101724_G181_Hoendiep_O_ID_8648_1,396.0,9.05880830133322,,groningen,43.7143591990703
2017-09-21,49500,PGR01_101724_G181_Hoendiep_O_ID_8648_1,336.0,7.57790697674419,,groningen,44.3394199785177
2017-09-21,49800,PGR01_101724_G181_Hoendiep_O_ID_8648_1,336.0,7.82978723404255,,groningen,42.9130434782609
2017-09-21,50100,PGR01_101724_G181_Hoendiep_O_ID_8648_1,360.0,7.90087040618956,,groningen,45.564600036722
2017-09-21,50400,PGR01_101724_G181_Hoendiep_O_ID_8648_1,432.0,9.29759060814961,,groningen,46.4636504452389
2017-09-21,50700,PGR01_101724_G181_Hoendiep_O_ID_8648_1,468.0,10.7953488372093,,groningen,43.3520034467902
2017-09-21,51000,PGR01_101724_G181_Hoendiep_O_ID_8648_1,420.0,9.20365348936778,,groningen,45.6340517909754
2017-09-21,51300,PGR01_101724_G181_Hoendiep_O_ID_8648_1,300.0,6.81079880764171,,groningen,44.0476966759611
2017-09-21,51600,PGR01_101724_G181_Hoendiep_O_ID_8648_1,372.0,8.27086786611037,,groningen,44.9771421841061
2017-09-21,51900,PGR01_101724_G181_Hoendiep_O_ID_8648_1,240.0,5.47909434906339,,groningen,43.8028595074342
2017-09-21,52200,PGR01_101724_G181_Hoendiep_O_ID_8648_1,324.0,7.64924503322495,,groningen,42.3571213358556
2017-09-21,52500,PGR01_101724_G181_Hoendiep_O_ID_8648_1,300.0,7.11650966769687,,groningen,42.1554967264015
2017-09-21,52800,PGR01_101724_G181_Hoendiep_O_ID_8648_1,468.0,10.227759904403,,groningen,45.7578203217822
2017-09-21,53100,PGR01_101724_G181_Hoendiep_O_ID_8648_1,420.0,8.6890756302521,,groningen,48.3365570599613
2017-09-21,53400,PGR01_101724_G181_Hoendiep_O_ID_8648_1,276.0,6.15251861384318,,groningen,44.8596773651362
2017-09-21,53700,PGR01_101724_G181_Hoendiep_O_ID_8648_1,612.0,15.005940867643,,groningen,40.7838472374394
2017-09-21,54000,PGR01_101724_G181_Hoendiep_O_ID_8648_1,480.0,10.3040982002121,,groningen,46.5834069778296
2017-09-21,54300,PGR01_101724_G181_Hoendiep_O_ID_8648_1,456.0,10.2482768338038,,groningen,44.4952851484152
2017-09-21,54600,PGR01_101724_G181_Hoendiep_O_ID_8648_1,516.0,11.8269016697588,,groningen,43.6293472634006
2017-09-21,54900,PGR01_101724_G181_Hoendiep_O_ID_8648_1,408.0,8.77251002158495,,groningen,46.5089237853371
2017-09-21,55200,PGR01_101724_G181_Hoendiep_O_ID_8648_1,336.0,7.44362428269405,,groningen,45.1393013993437
2017-09-21,55500,PGR01_101724_G181_Hoendiep_O_ID_8648_1,480.0,10.6148930296756,,groningen,45.2194853643916
2017-09-21,55800,PGR01_101724_G181_Hoendiep_O_ID_8648_1,564.0,12.036308973173,,groningen,46.8582188490729
2017-09-21,56100,PGR01_101724_G181_Hoendiep_O_ID_8648_1,480.0,10.4176081264227,,groningen,46.07583565968
2017-09-21,56400,PGR01_101724_G181_Hoendiep_O_ID_8648_1,468.0,10.4754170165912,,groningen,44.6760257141812
2017-09-21,56700,PGR01_101724_G181_Hoendiep_O_ID_8648_1,468.0,9.86936478569226,,groningen,47.4194651998744
2017-09-21,57000,PGR01_101724_G181_Hoendiep_O_ID_8648_1,444.0,11.3969392635103,,groningen,38.9578280391087
2017-09-21,57300,PGR01_101724_G181_Hoendiep_O_ID_8648_1,504.0,10.97117250007,,groningen,45.938572198804
2017-09-21,57600,PGR01_101724_G181_Hoendiep_O_ID_8648_1,444.0,9.56765869789126,,groningen,46.4063376443245
2017-09-21,57900,PGR01_101724_G181_Hoendiep_O_ID_8648_1,420.0,10.1771561771562,,groningen,41.2688960146587
2017-09-21,58200,PGR01_101724_G181_Hoendiep_O_ID_8648_1,324.0,6.70151975683891,,groningen,48.3472423802613
2017-09-21,58500,PGR01_101724_G181_Hoendiep_O_ID_8648_1,492.0,10.8971322849214,,groningen,45.1494932002241
2017-09-21,58800,PGR01_101724_G181_Hoendiep_O_ID_8648_1,276.0,6.43408750492708,,groningen,42.8965256982665
2017-09-21,59100,PGR01_101724_G181_Hoendiep_O_ID_8648_1,588.0,12.5656378661769,,groningen,46.7942818551795
2017-09-21,59400,PGR01_101724_G181_Hoendiep_O_ID_8648_1,384.0,7.64684149521878,,groningen,50.2168117699442
2017-09-21,59700,PGR01_101724_G181_Hoendiep_O_ID_8648_1,396.0,8.91703529078754,,groningen,44.4093790241157
2017-09-21,60000,PGR01_101724_G181_Hoendiep_O_ID_8648_1,480.0,10.3057513914657,,groningen,46.5759343270685
2017-09-21,60300,PGR01_101724_G181_Hoendiep_O_ID_8648_1,420.0,9.93658862876254,,groningen,42.2680273574237
2017-09-21,60600,PGR01_101724_G181_Hoendiep_O_ID_8648_1,444.0,9.93633807440984,,groningen,44.6844699400358
2017-09-21,60900,PGR01_101724_G181_Hoendiep_O_ID_8648_1,360.0,7.63217036227212,,groningen,47.1687584149821
2017-09-21,61200,PGR01_101724_G181_Hoendiep_O_ID_8648_1,420.0,9.19423350735643,,groningen,45.6808063079921
2017-09-21,61500,PGR01_101724_G181_Hoendiep_O_ID_8648_1,348.0,7.10973004304039,,groningen,48.9470061300924
2017-09-21,61800,PGR01_101724_G181_Hoendiep_O_ID_8648_1,336.0,7.12826481475447,,groningen,47.13629596147
2017-09-21,62100,PGR01_101724_G181_Hoendiep_O_ID_8648_1,240.0,5.08973609341455,,groningen,47.1537218423816
2017-09-21,62400,PGR01_101724_G181_Hoendiep_O_ID_8648_1,360.0,7.55303164744159,,groningen,47.6629804830676
2017-09-21,62700,PGR01_101724_G181_Hoendiep_O_ID_8648_1,372.0,7.89391304347826,,groningen,47.1249173826834
2017-09-21,63000,PGR01_101724_G181_Hoendiep_O_ID_8648_1,372.0,7.74816765103537,,groningen,48.0113514258162
2017-09-21,63300,PGR01_101724_G181_Hoendiep_O_ID_8648_1,372.0,8.22033465683494,,groningen,45.2536320635917
2017-09-21,63600,PGR01_101724_G181_Hoendiep_O_ID_8648_1,312.0,6.70117647058824,,groningen,46.5589887640449
2017-09-21,63900,PGR01_101724_G181_Hoendiep_O_ID_8648_1,345.0,7.4906914893617,,groningen,46.0571631457483
